technique_id,D_raw,rule_count,D_norm,stealth_S
T1133,9.368613583889001,10,0.05039244730740142,0.9531399661675491
T1190,12.220215234502913,9,0.06573080923614792,0.9401493676370407
T1550,0.1831020481113516,1,0.0009848800175936347,0.9990165727397389
T1557.001,9.989275935432982,8,0.05373090230565791,0.9502658356459287
T1110.001,1.6051619976059355,3,0.008633939340107024,0.9914763963532282
T1553.004,3.829746372354151,7,0.020599664031554193,0.9800170981120516
T1005,6.100228600438385,7,0.03281226678399169,0.9687243115979367
T1584,0.5189093730814168,1,0.0027911401197387472,0.9972204950599328
T1499.001,1.0153303658958976,1,0.005461318422930893,0.9945830437344374
T1090,11.473595174801194,14,0.061714845542024714,0.9434982490679847
T1055.012,2.3035418017146156,3,0.012390425522824681,0.9878355047159544
T1218.005,8.98809001142358,7,0.048345664834948544,0.9549152388807014
T1055.001,5.273700058872223,6,0.02836648666871806,0.9727895130341542
T1555.005,0.3927834023173023,1,0.002112726363112536,0.9978939471244787
T1218.011,28.47129811898929,27,0.15314308540825858,0.8752801636544063
T1055,25.987273773900267,23,0.13978186981329976,0.8843008203769476
T1055.003,1.8585254129240045,2,0.009996745313660595,0.9901508620563825
T1127,11.342926573935323,18,0.06101199762062161,0.9440881117102446
T1564.004,18.33344976112022,21,0.09861303305740951,0.9140362563974445
T1071.001,6.812033140687058,10,0.03664096272352051,0.9652643425334722
T1572,15.93293210641983,21,0.08570098813829766,0.9240215428557464
T1056,0.1831020481113516,1,0.0009848800175936347,0.9990165727397389
T1559.001,0.990036558726654,3,0.005325266611895415,0.9947169216374547
T1218.010,21.38354102660877,17,0.11501904254884741,0.9018177625392401
T1590,1.3914624232985455,1,0.0074844795570268245,0.9925985796894569
T1599.001,1.8008971705305026,1,0.009686771149155966,0.9904518900826913
T1555.004,2.671386370122829,4,0.014369009425858281,0.9859339236558817
T1552.006,4.744427540615866,5,0.025519604656916946,0.9754199864579784
T1555.003,6.0261067645174275,7,0.032413575912868774,0.9690867728672092
T1217,1.5001959073566975,4,0.008069341587773114,0.9920271191717895
T1574,4.968416091433454,7,0.026724407389302783,0.9743041432053378
T1490,16.66501345584495,16,0.08963875016629697,0.9209407207892208
T1046,7.158826987339186,10,0.03850631777178519,0.9635921656411283
T1087.001,14.63283964996721,9,0.07870797470894636,0.9295719089967295
T1069.001,14.758353872251089,13,0.07938309795702725,0.9290315818670016
T1204,4.206706888766449,5,0.022627281329480164,0.9781146057782782
T1546.002,2.440396185579826,4,0.01312654589602207,0.9871267425687484
T1036.005,10.062905417135731,10,0.05412694487308301,0.9499266279269255
T1027.004,3.6669266786279247,5,0.019723879929324183,0.9808423012656733
T1552.001,5.77652277671433,8,0.031071098945330337,0.9703102868980676
T1566,7.6201524636716735,5,0.04098772225596892,0.9613813169394202
T1195,0.6225469635785955,1,0.0033485920598183587,0.996668140389971
T1195.001,0.6225469635785955,1,0.0033485920598183587,0.996668140389971
T1547.001,27.35686572674245,29,0.14714871120324968,0.8792913402358293
T1137.006,4.338082256277632,4,0.023333930848698527,0.977454181792645
T1137,4.9867007341478775,8,0.02682275789615961,0.9742132250770045
T1008,2.2338449869584895,4,0.012015536214642344,0.9881970507754344
T1546,4.427525559806295,7,0.023815033726910847,0.9770053208154803
T1137.003,0.7855668046346046,1,0.004225452726225072,0.9958011540770264
T1564,8.079433684201204,9,0.04345813097734196,0.9591955129753807
T1486,7.611685836683818,7,0.040942181466978464,0.9614217534866638
T1036.007,4.861924800270037,3,0.02615160579698628,0.9748341687436923
T1555,6.836071311898385,7,0.03677026064634403,0.9651481505018781
T1552.004,4.2691581611302825,6,0.022963197889993087,0.9778004950876681
T1036.003,23.0640109432916,23,0.12405805253360548,0.8952989121246128
T1546.013,1.647214140869768,3,0.008860131870582415,0.9912560203983172
T1036.002,3.4302230133082077,3,0.018450684394543556,0.9820457141967001
T1053,6.965088410705899,5,0.0374642253717749,0.9645252522068843
T1547.015,0.6931471805599452,1,0.0037283406407868274,0.9962923899223892
T1548.002,45.39699622200481,54,0.24418402141867895,0.8206946961797218
T1216,7.176611650609133,13,0.038601978959930665,0.9635066482187394
T1542.001,0.7855668046346046,2,0.004225452726225072,0.9958011540770264
T1218.003,6.386152703771109,7,0.03435021209277122,0.9673299635480344
T1056.002,1.4606755448912938,2,0.0078567671481002,0.9922347081971687
T1202,30.433989030556877,37,0.16370012220524738,0.8683535326183247
T1071,1.4787139851945499,3,0.007953793367011899,0.9921399412838142
T1027.002,0.19459101490553132,1,0.0010466775449020304,0.998954963084751
T1218.014,1.5925646303046002,2,0.008566179883250334,0.9915424420634814
T1574.007,1.2711836799303664,2,0.0068375172094917915,0.9932318722963184
T1220,2.4452287389961676,5,0.013152539517299394,0.987101743009188
T1102,12.433681693408579,11,0.06687901512445568,0.9391985599634807
T1102.001,3.5245353826180787,2,0.01895797728887926,0.9815656915684144
T1567,5.662847322445107,8,0.03045965475584453,0.9708691022495776
T1496,4.349815406001296,2,0.023397041801445726,0.9773952647946254
T1567.001,0.3662040962227032,1,0.0019697600351872694,0.9980360421190486
T1016,3.1376301309053023,5,0.016876868666422924,0.9835394477600374
T1568.002,1.1783502069519067,1,0.006338179089337606,0.9937214914260171
T1041,0.3662040962227032,1,0.0019697600351872694,0.9980360421190486
T1218.009,2.690443571039481,4,0.014471515414009019,0.9858357073317993
T1127.001,0.9120148170459901,1,0.004905598699320195,0.9951302252993296
T1571,3.8336393468515846,3,0.020620603790727134,0.9799973933869852
T1550.003,5.6746148893721085,4,0.030522950833860276,0.9708112089993524
T1048.003,3.6441305536629605,4,0.019601262797576388,0.980958004174707
T1021.006,4.458287885381208,8,0.023980499924946035,0.9768510875738565
T1095,1.8196753987842404,2,0.009787776582812675,0.9903537695056291
T1049,3.114755535087198,4,0.016753829451055538,0.9836565153603803
T1074.001,1.8483924814931874,4,0.009942241708764874,0.9902037726846473
T1070.003,3.6985722983800366,5,0.0198940972417994,0.980681750575821
T1140,6.11761650884948,8,0.032905793883871104,0.9686393429473769
T1115,0.6452001684846485,3,0.0034704404447848535,0.9965475284912342
T1069,8.91896769103931,3,0.047973865650732035,0.9552388010445467
T1565,0.7855668046346046,1,0.004225452726225072,0.9958011540770264
T1529,2.538268454903691,3,0.013652986988996614,0.9866208055413834
T1033,19.353031656345856,21,0.10409721985523987,0.9098949208295363
T1119,3.083187028376488,4,0.016584026918722634,0.9838181457107934
T1113,2.4849066497880004,6,0.013365961387135465,0.9868965550383559
T1556.002,1.50351823904237,3,0.008087211939977187,0.9920096738771864
T1574.012,1.266817076590347,2,0.006814029867767862,0.9932548862322474
T1497.001,0.5364793041447,1,0.002885646293717762,0.9971267883243295
T1018,12.237891307933149,12,0.06582588633490528,0.9400705240595196
T1620,1.6845203627481857,2,0.009060796761221016,0.9910606389559977
T1562.006,2.3910543662664603,2,0.012861143229177533,0.9873821047904262
T1132.001,1.9129473005478923,4,0.010289472949388064,0.9898668354882015
T1518.001,2.8500523993556173,3,0.015330028725364766,0.9850142773578243
T1082,10.61081659502706,15,0.05707408159868202,0.9474139847021698
T1106,11.862351265529204,10,0.06380590956574876,0.9417499777485011
T1518,2.9577620946460317,4,0.015909383941141032,0.9844611120887007
T1056.001,0.6931471805599453,2,0.003728340640786828,0.9962923899223892
T1589.002,0.5972531564093516,1,0.0032125402487828787,0.9968028634009847
T1020,0.9361285162777617,2,0.005035302876682494,0.9950024329860193
T1553.005,1.197942860685826,3,0.006443565202454339,0.993618096108024
T1083,5.148083240499167,6,0.027690811570785376,0.9734118824385427
T1222,1.7265148803019614,2,0.009286679331152983,0.9908408423866061
T1546.015,6.548096891722431,8,0.035221286973275506,0.9665429162013789
T1615,3.495499340173274,5,0.018801796523623716,0.9817134011431587
T1057,2.3972980492508618,3,0.0128947271168017,0.987349780414908
T1564.006,0.7607246985779726,2,0.004091830551582658,0.9959331252293175
T1114.001,0.5364793041447,1,0.002885646293717762,0.9971267883243295
T1070.005,1.669469372973855,4,0.008979839616139112,0.9911394505777086
T1573,0.23104906018664842,1,0.0012427802135956093,0.9987595320703424
T1491.001,3.0239231824082644,4,0.016265255073940457,0.9841217923311513
T1120,0.34657359027997264,2,0.001864170320393414,0.9981410273043485
T1564.003,6.7544949556869085,7,0.03633147296499639,0.9655426343734911
T1027.009,2.216813036409283,2,0.01192392376175293,0.9882854631286967
T1547.004,1.0846450839518924,2,0.005834152487009577,0.9942164443740911
T1055.011,0.3662040962227032,1,0.0019697600351872694,0.9980360421190486
T1560.001,6.4367025366356145,10,0.0346221124936377,0.9670840830746685
T1564.001,5.850558772081309,6,0.03146932809225527,0.9699468582562492
T1542.003,1.0397207708399179,1,0.0055925109611802415,0.9944539987335955
T1185,1.2476649250079015,2,0.00671101315341629,0.9933558455057588
T1176.001,2.183198496976357,2,0.01174311590881199,0.9884600251433018
T1614.001,0.5493061443340549,1,0.0029546400527809048,0.9970583948868124
T1546.001,2.491473353239737,3,0.01340128275616322,0.986862608775141
T1546.008,7.2465868232858455,6,0.038978365515995005,0.9631703968065941
T1218.002,1.4081137682132001,1,0.00757404478604343,0.9925110025507656
T1048.001,0.6225469635785955,1,0.0033485920598183587,0.996668140389971
T1135,4.578025768290109,4,0.02462455306057359,0.9762514573307676
T1204.004,2.9489371226768504,2,0.01586191566518278,0.9845063993170305
T1027.003,0.6931471805599452,1,0.0037283406407868274,0.9962923899223892
T1593.003,0.9814796597221467,1,0.005279240262496084,0.9947622248150731
T1218.001,5.401759134234886,5,0.029055298321548417,0.9721562820884159
T1588.002,9.775920377237442,9,0.05258329293658338,0.9512508467835856
T1110.002,0.9120148170459901,1,0.004905598699320195,0.9951302252993296
T1134.003,3.6634704890937426,3,0.01970528957468674,0.9808598406839377
T1007,2.2209996668928857,2,0.011946443054938777,0.9882637282449046
T1587,1.0729586082894,1,0.005771292587435524,0.9942782246361882
T1134.004,1.7515907235697123,1,0.009421558745192626,0.9907096669820954
T1574.005,1.997154849035994,2,0.010742413441817963,0.9894278411836049
T1216.001,0.8283022165960001,2,0.004455320462378488,0.9955742494385557
T1218.013,1.5345617806245855,2,0.008254190759138554,0.9918467113393689
T1574.008,1.0153303658958976,1,0.005461318422930893,0.9945830437344374
T1563.002,1.0153303658958979,2,0.005461318422930895,0.9945830437344374
T1546.007,3.368314517472828,4,0.018117687352203187,0.982361195978272
T1218.008,6.609134182709952,8,0.03554959792796837,0.9662467793021394
T1027.010,2.0912155136978168,2,0.01124835245245463,0.9889381725659543
T1104,0.7855668046346046,1,0.004225452726225072,0.9958011540770264
T1590.001,0.7855668046346046,1,0.004225452726225072,0.9958011540770264
T1595,3.889239648680924,2,0.02091966994978282,0.9797160967861389
T1622,0.9026834003674034,1,0.004855406328905032,0.9951796910619157
T1526,1.8008971705305026,1,0.009686771149155966,0.9904518900826913
T1037.001,2.293549279164591,3,0.012336677157438358,0.9878873155759363
T1564.002,1.868436836339718,3,0.01005005745827467,0.9900991162975346
T1562.010,1.1026824177980108,1,0.005931172754444838,0.9941211131028067
T1219,4.588604190782199,4,0.024681452898874617,0.9761985355971831
T1124,1.4769767851565825,2,0.007944449213729046,0.992149066669002
T1553,0.3662040962227032,1,0.0019697600351872694,0.9980360421190486
T1036.004,1.7252293813766064,1,0.009279764814263198,0.9908475684280011
T1546.011,4.469917930061699,6,0.02404305629024989,0.9767927971292143
T1505.005,0.648636716351771,1,0.003488925149673434,0.9965292351937011
T1547.014,0.648636716351771,1,0.003488925149673434,0.9965292351937011
T1547.010,2.722032860104962,4,0.014641429731688638,0.985672968519595
T1547.002,0.648636716351771,1,0.003488925149673434,0.9965292351937011
T1557,0.648636716351771,1,0.003488925149673434,0.9965292351937011
T1539,2.423444134109098,2,0.013035363208974325,0.98721445328516
T1608,2.193680572847805,2,0.011799497512268501,0.9884055812262654
T1552,1.185116020496471,1,0.006374571443391196,0.9936857828850443
T1021,2.193191019526381,3,0.01179686427419831,0.988408123765869
T1569,0.3662040962227032,1,0.0019697600351872694,0.9980360421190486
T1560,0.5296756383913243,2,0.0028490503379870486,0.9971630715736133
T1021.005,0.7855668046346046,1,0.004225452726225072,0.9958011540770264
T1006,0.5776226504666211,1,0.0031069505339890234,0.9969074595375024
T1546.009,0.9155102405567581,2,0.004924400087968174,0.9951116979902209
T1546.010,0.5972531564093516,1,0.0032125402487828787,0.9968028634009847
T1137.002,0.23104906018664842,1,0.0012427802135956093,0.9987595320703424
T1547.005,0.9120148170459901,1,0.004905598699320195,0.9951302252993296
T1547.008,1.0153303658958976,1,0.005461318422930893,0.9945830437344374
T1125,1.35880732125241,1,0.007308832382080091,0.9927703955029701
T1559.002,0.648636716351771,1,0.003488925149673434,0.9965292351937011
T1546.012,2.929940930521619,2,0.015759737834530232,0.9846039036549393
T1204.001,1.9639170115865117,1,0.010563631815562679,0.9896010480396108
T1553.003,0.8283022165960001,1,0.004455320462378488,0.9955742494385557
T1547.003,1.0153303658958976,1,0.005461318422930893,0.9945830437344374
